Xpos,Ypos,m_z,mobility,inten,msFWHM,mobilityFWHM
0.0000,0.0000,556.2778,90.329,647,0.021612,2.814
0.0000,0.0000,555.2776,90.009,1167,0.032133,4.375
0.0000,0.0000,554.2713,89.207,4574,0.021431,3.795
0.0000,0.0000,165.9712,127.005,1459,0.0098811,1.522
0.0000,0.0000,206.9756,30.433,917,0.01635,2.320
0.0000,0.0000,178.9816,27.124,1677,0.012777,2.014
0.0000,0.0000,162.9872,25.778,812,0.012519,2.160
0.0000,0.0000,176.9837,27.077,816,0.013075,1.918
0.0000,0.0000,206.9784,30.659,6171,0.012624,2.170
0.0000,0.0000,178.9818,27.009,7887,0.012839,1.897
0.0000,0.0000,162.9873,26.119,1010,0.013448,2.146
0.0000,0.0000,206.9753,31.002,4960,0.014055,1.932
0.0000,0.0000,178.9816,27.373,8221,0.012872,2.238
0.0000,0.0000,178.9805,27.111,791,0.013229,2.751
0.0000,0.0000,206.9755,30.349,875,0.016256,2.312
0.0000,0.0000,520.9246,61.637,533,0.029956,2.201
0.0000,0.0000,384.9442,48.416,633,0.024692,2.304
0.0000,0.0000,219.0289,33.107,813,0.013398,2.035
0.0000,0.0000,218.0341,33.196,1035,0.015257,2.137
0.0000,0.0000,555.2761,89.649,3683,0.022436,3.042
0.0000,0.0000,554.2740,89.904,9851,0.023868,3.385
0.0000,0.0000,178.9793,27.422,569,0.015229,2.438
0.0000,0.0000,178.9797,27.281,764,0.013091,2.194
0.0000,0.0000,213.0517,37.799,818,0.01555,1.723
0.0000,0.0000,171.0267,31.318,712,0.01403,2.537
0.0000,0.0000,213.0501,37.190,4943,0.013762,2.450
0.0000,0.0000,171.0253,31.904,1380,0.013593,3.737
0.0000,0.0000,213.0495,37.240,8632,0.013135,2.162
0.0000,0.0000,171.0287,36.989,692,0.013884,2.262
0.0000,0.0000,214.0531,37.423,872,0.014485,2.358
0.0000,0.0000,171.0256,31.985,1678,0.012547,3.591
0.0000,0.0000,213.0507,37.360,12063,0.012509,2.283
0.0000,0.0000,214.0540,37.407,475,0.020094,2.978
0.0000,0.0000,171.0294,35.900,512,0.012977,2.364
0.0000,0.0000,178.9832,27.028,720,0.013187,1.931
0.0000,0.0000,171.0289,31.847,1216,0.014553,3.162
0.0000,0.0000,213.0497,37.326,6609,0.013512,2.761
0.0000,0.0000,171.0262,30.879,766,0.013683,2.666
0.0000,0.0000,213.0489,36.983,7630,0.013464,1.907
0.0000,0.0000,213.0505,37.226,2674,0.013855,2.357
0.0000,0.0000,213.0458,37.305,1827,0.016457,2.068
0.0000,0.0000,213.0501,37.332,647,0.016061,2.360
0.0000,0.0000,178.9822,26.962,793,0.01526,2.068
0.0000,0.0000,556.2743,91.037,591,0.019947,3.201
0.0000,0.0000,555.2724,90.214,2855,0.021722,3.623
0.0000,0.0000,554.2721,90.120,9610,0.027768,3.469
0.0000,0.0000,554.2767,89.894,399,0.027919,3.010
0.0000,0.0000,178.9815,27.796,791,0.014003,1.747
0.0000,0.0000,556.2781,90.742,705,0.028735,3.097
0.0000,0.0000,555.2748,90.734,2255,0.0279,4.257
0.0000,0.0000,554.2729,90.728,9421,0.024204,3.605
0.0000,0.0000,554.2750,89.612,625,0.027115,3.032
0.0000,0.0000,241.0439,41.741,3107,0.014905,2.194
0.0000,0.0000,241.0440,41.317,6550,0.014936,2.557
0.0000,0.0000,241.0432,41.134,6261,0.014973,2.098
0.0000,0.0000,241.0455,41.480,2611,0.016242,2.363
0.0000,0.0000,241.0472,41.827,709,0.016143,2.444
0.0000,0.0000,134.8671,20.050,994,0.010862,1.951
0.0000,0.0000,230.7706,23.358,1264,0.014242,1.922
0.0000,0.0000,234.7669,23.294,1838,0.013005,2.071
