Site,Infectious Rate per 100K
"Milford, MA",132.5223394
"Immerse, MA",132.5223394
"Wilmslow, UK",390.4071034
"New Castle, DE",322.049285
"Wexford, Ireland",51.98460915
"Brasov, Romania",10.20896143
"Taunton, MA",132.5223394
"Franklin, MA",132.5223394
"EDC, Netherlands",120.5369128
"Solihull, UK",293.791613
"Cambridge, MA",132.5223394
"Dachstein, France",94.15234243
"Eden Prairie, MN",325.5708883
"Golden, CO",265.7899723
"Guyancourt, France",94.15234243
"Hullhorst, Germany",35.72400458
"Lindon, UT",300.5341929
"Nixa, MO",201.27274
"Shanghai, China",0.008059339
"Singapore, Singapore",3.264957265
